f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,class
-0.026,0.609,-0.782,-0.025,0.606,-0.782,-0.025,0.606,-0.783,0.018,0.657,-0.864,-0.051,0.608,-1.054,-0.649,0.470,-0.659,-0.855,-0.180,-0.203,-0.713,-0.441,-0.326,-0.659,-0.564,-0.411,-0.552,-0.603,-0.410,-52.164,33.097,-97.082,-0.343,0.218,-0.639,0.352,0.508,0.272,-1.027,2.335,-0.426,Touching
-0.014,0.734,-0.664,-0.014,0.734,-0.668,-0.013,0.720,-0.689,-0.015,0.694,-0.739,-0.040,0.657,-0.804,-0.465,0.704,-0.627,-0.721,0.489,-0.382,-0.787,0.210,-0.334,-0.890,0.263,-0.246,-0.961,0.332,-0.157,-55.024,85.912,-83.697,-0.362,0.565,-0.551,0.383,0.205,0.209,-1.059,0.362,-0.380,Touching
-0.018,0.590,-0.793,-0.017,0.590,-0.798,0.012,0.664,-0.886,-0.221,0.714,-0.865,-0.649,0.508,-0.571,-0.618,-0.102,-0.373,-0.697,0.044,-0.494,-0.854,0.103,-0.513,-0.968,0.058,-0.529,-0.894,0.076,-0.427,-70.740,51.245,-96.160,-0.468,0.339,-0.637,0.375,0.318,0.191,-0.801,0.936,-0.300,Touching
-0.016,0.566,-0.807,-0.017,0.579,-0.809,-0.006,0.562,-0.832,-0.012,0.645,-0.848,-0.471,0.819,-0.574,-0.721,0.555,-0.224,-0.687,0.392,-0.170,-0.969,0.408,-0.028,-0.965,0.326,-0.007,-0.796,0.489,-0.076,-68.193,81.550,-69.397,-0.449,0.537,-0.457,0.402,0.157,0.354,-0.896,0.293,-0.776,Touching
0.032,0.515,-0.846,0.032,0.565,-0.831,0.041,0.505,-0.885,-0.003,0.598,-0.951,-0.409,0.700,-0.798,-0.533,0.374,-0.471,-0.669,0.200,-0.451,-0.773,0.221,-0.541,-0.814,0.211,-0.538,-0.830,0.200,-0.472,-56.181,63.828,-104.773,-0.370,0.420,-0.689,0.362,0.192,0.202,-0.980,0.458,-0.293,Touching
0.023,0.451,-0.883,0.038,0.505,-0.921,-0.152,0.683,-1.070,-0.445,0.388,-0.599,-0.492,0.129,-0.532,-0.697,0.220,-0.684,-0.726,0.301,-0.656,-0.704,0.248,-0.614,-0.709,0.221,-0.616,-0.693,0.272,-0.671,-67.362,52.524,-110.582,-0.443,0.346,-0.728,0.304,0.174,0.180,-0.687,0.505,-0.247,Touching
0.011,0.551,-0.823,0.013,0.580,-0.806,0.018,0.555,-0.826,0.036,0.562,-0.890,-0.248,0.638,-0.841,-0.603,0.785,-0.385,-0.549,0.600,-0.225,-0.732,0.492,-0.107,-0.839,0.570,-0.027,-0.717,0.624,-0.122,-52.018,90.306,-79.860,-0.342,0.594,-0.525,0.348,0.091,0.347,-1.016,0.153,-0.660,Touching
0.004,0.387,-0.911,0.013,0.443,-0.913,-0.072,0.642,-0.944,-0.584,0.772,-0.381,-0.676,0.489,-0.127,-0.724,0.556,-0.038,-1.077,0.177,-0.053,-0.819,0.263,0.143,-0.994,0.360,-0.019,-1.073,0.355,-0.042,-87.457,68.264,-52.198,-0.575,0.449,-0.343,0.417,0.195,0.421,-0.724,0.435,-1.227,Touching
0.020,0.509,-0.855,0.024,0.537,-0.841,0.009,0.488,-1.000,-0.165,0.327,-1.197,-0.403,0.035,-0.588,-0.524,-0.462,-0.485,-0.719,-0.377,-0.597,-0.777,-0.293,-0.519,-0.829,-0.180,-0.527,-0.823,-0.192,-0.521,-60.395,7.809,-109.926,-0.397,0.051,-0.723,0.346,0.386,0.250,-0.871,7.507,-0.346,Touching
0.031,0.464,-0.873,0.031,0.517,-0.865,0.042,0.481,-0.964,-0.127,0.610,-0.918,-0.568,0.488,-0.478,-0.787,-0.022,-0.385,-0.885,0.163,-0.461,-0.845,0.109,-0.462,-0.745,0.117,-0.466,-0.508,0.345,-0.513,-65.709,49.581,-98.056,-0.432,0.326,-0.645,0.385,0.230,0.233,-0.890,0.705,-0.362,Touching
0.038,0.378,-0.915,0.051,0.429,-0.949,-0.098,0.635,-1.074,-0.503,0.614,-0.572,-0.699,0.259,-0.349,-0.613,0.357,-0.339,-0.931,0.398,-0.284,-0.837,0.352,-0.344,-0.722,0.291,-0.314,-0.624,0.357,-0.269,-74.652,62.608,-84.648,-0.488,0.409,-0.553,0.368,0.157,0.337,-0.754,0.384,-0.610,Touching
0.019,0.385,-0.913,0.019,0.417,-0.901,0.020,0.398,-0.905,0.020,0.395,-0.907,0.018,0.387,-0.911,0.026,0.376,-0.922,0.016,0.547,-1.040,-0.317,0.640,-0.917,-0.568,0.457,-0.366,-0.624,0.193,-0.308,-16.915,65.570,-126.980,-0.111,0.431,-0.835,0.234,0.121,0.224,-2.105,0.281,-0.268,Touching
0.035,0.427,-0.893,0.012,0.444,-0.905,-0.067,0.654,-0.948,-0.531,0.702,-0.430,-0.689,0.584,-0.062,-0.712,0.570,-0.058,-0.937,0.465,0.114,-0.778,0.421,-0.025,-0.696,0.795,-0.083,-0.606,0.700,-0.280,-74.648,86.594,-54.893,-0.491,0.570,-0.361,0.351,0.149,0.411,-0.715,0.261,-1.139,Touching
0.018,0.416,-0.913,-0.031,0.782,-0.895,-0.607,0.833,-0.355,-0.572,0.393,-0.178,-0.724,0.526,-0.143,-0.929,0.349,-0.171,-0.943,0.364,-0.068,-0.864,0.480,-0.031,-0.827,0.510,-0.021,-0.862,0.433,-0.073,-94.543,77.926,-44.967,-0.622,0.513,-0.296,0.348,0.196,0.335,-0.560,0.383,-1.133,Touching
0.013,0.309,-0.940,0.032,0.314,-0.977,0.002,0.495,-0.972,-0.556,0.751,-0.516,-0.716,0.327,-0.283,-0.821,0.284,-0.268,-0.933,0.347,-0.161,-0.884,0.329,-0.228,-0.828,0.395,-0.297,-0.671,0.460,-0.385,-80.400,60.489,-77.349,-0.529,0.398,-0.509,0.389,0.158,0.328,-0.735,0.397,-0.645,Touching
-0.018,0.116,-0.985,-0.010,0.099,-0.995,-0.017,0.134,-1.084,-0.391,0.309,-0.991,-0.762,0.084,-0.491,-0.730,-0.210,-0.398,-0.800,0.064,-0.438,-0.917,0.119,-0.365,-0.967,0.133,-0.348,-0.986,0.207,-0.366,-81.713,15.246,-100.455,-0.538,0.100,-0.661,0.394,0.142,0.312,-0.733,1.411,-0.472,Touching
-0.034,0.784,-0.606,-0.023,0.800,-0.671,-0.258,1.069,-0.571,-0.659,0.751,-0.230,-0.640,0.092,-0.249,-0.862,0.138,-0.276,-0.918,0.169,-0.294,-0.790,0.202,-0.316,-0.647,0.457,-0.153,-0.508,0.809,-0.134,-81.369,77.879,-54.928,-0.535,0.512,-0.361,0.326,0.357,0.193,-0.609,0.697,-0.534,Touching
-0.017,0.711,-0.690,-0.011,0.715,-0.699,-0.011,0.854,-0.863,-0.378,0.704,-0.789,-0.632,-0.007,-0.358,-0.771,-0.245,-0.314,-0.934,-0.191,-0.292,-0.888,-0.199,-0.205,-0.952,-0.040,-0.287,-1.031,0.073,-0.202,-81.750,37.410,-73.559,-0.538,0.246,-0.484,0.401,0.449,0.257,-0.746,1.826,-0.530,Touching
0.001,0.574,-0.805,0.006,0.607,-0.814,-0.040,0.830,-0.845,-0.565,0.674,-0.353,-0.752,0.345,-0.193,-0.863,0.309,-0.197,-1.015,0.293,-0.066,-0.956,0.245,-0.024,-0.887,0.209,-0.092,-0.948,0.235,-0.059,-88.698,67.258,-54.662,-0.584,0.442,-0.360,0.412,0.222,0.336,-0.706,0.501,-0.936,Touching
-0.288,-0.116,-0.935,-0.278,-0.099,-0.904,-0.256,0.035,-0.801,-0.389,0.311,-0.892,-0.342,0.576,-0.824,-0.337,0.840,-0.524,-0.391,0.844,-0.287,-0.372,0.865,-0.057,-0.313,0.963,-0.047,-0.270,0.994,-0.009,-48.524,78.219,-79.190,-0.323,0.521,-0.528,0.058,0.430,0.377,-0.181,0.825,-0.715,NoTouching
-0.366,0.812,-0.133,-0.365,0.911,-0.131,-0.498,0.875,-0.038,-0.424,0.762,-0.108,-0.277,1.036,0.325,-0.429,0.725,0.654,-0.442,0.559,0.634,-0.381,0.824,0.468,-0.389,0.821,0.438,-0.436,0.635,0.598,-60.223,121.657,37.955,-0.399,0.806,0.251,0.072,0.169,0.331,-0.180,0.210,1.315,NoTouching
-0.395,0.726,0.641,-0.418,0.789,0.484,-0.553,0.805,0.345,-0.549,0.796,0.080,-0.523,0.756,-0.055,-0.592,0.690,0.133,-0.537,0.788,0.261,-0.398,0.922,0.256,-0.442,0.710,0.539,-0.516,0.559,0.785,-74.123,115.623,48.422,-0.491,0.766,0.321,0.078,0.099,0.245,-0.158,0.129,0.765,NoTouching
-0.375,0.658,0.660,-0.400,0.707,0.753,-0.273,0.773,0.040,-0.358,0.892,0.362,-0.358,0.614,0.709,-0.343,0.671,0.717,-0.335,0.864,0.545,-0.393,0.915,0.531,-0.518,0.727,0.301,-0.524,0.692,-0.010,-57.310,114.006,73.808,-0.380,0.755,0.489,0.076,0.173,0.270,-0.202,0.229,0.553,NoTouching
-0.564,0.823,0.031,-0.504,0.822,0.421,-0.451,0.675,0.671,-0.455,0.665,0.723,-0.453,0.603,0.599,-0.375,0.827,0.367,-0.496,0.753,0.527,-0.772,0.715,0.518,-0.705,0.563,0.369,-0.384,0.614,0.438,-79.104,107.408,70.674,-0.524,0.711,0.468,0.133,0.117,0.211,-0.253,0.164,0.450,NoTouching
-0.393,0.437,-0.749,-0.390,0.442,-0.682,-0.453,0.786,-0.535,-0.307,0.539,-0.626,-0.383,0.525,-0.856,-0.331,0.368,-0.836,-0.305,0.402,-0.829,-0.348,0.421,-0.862,-0.328,0.344,-0.865,-0.382,0.411,-0.810,-54.487,71.107,-115.103,-0.361,0.471,-0.762,0.064,0.166,0.132,-0.177,0.352,-0.174,NoTouching
-0.386,0.722,-0.441,-0.521,0.624,-0.562,-0.404,0.628,-0.464,-0.474,0.989,0.198,-0.368,0.936,0.393,-0.360,0.671,0.513,-0.460,0.725,0.336,-0.512,0.789,0.545,-0.465,0.663,0.615,-0.472,0.620,0.614,-66.514,112.287,22.455,-0.440,0.744,0.149,0.077,0.203,0.467,-0.175,0.273,3.144,NoTouching
-0.486,0.696,0.520,-0.486,0.532,0.657,-0.523,0.442,0.756,-0.542,0.513,0.739,-0.413,0.751,0.377,-0.480,0.713,0.540,-0.523,0.459,0.705,-0.524,0.498,0.716,-0.493,0.552,0.673,-0.501,0.727,0.569,-75.017,87.573,94.913,-0.497,0.580,0.629,0.047,0.138,0.136,-0.094,0.238,0.217,NoTouching
-0.554,0.731,0.316,-0.419,0.599,-0.479,-0.185,0.285,-1.134,-0.406,0.429,-0.795,-0.453,0.500,-0.702,-0.404,0.366,-0.848,-0.430,0.356,-0.804,-0.416,0.365,-0.797,-0.419,0.390,-0.807,-0.391,0.390,-0.800,-61.147,66.146,-102.739,-0.408,0.441,-0.685,0.095,0.165,0.390,-0.232,0.374,-0.570,NoTouching
-0.433,0.426,-0.606,-0.357,0.298,-0.894,-0.461,0.456,-0.704,-0.391,0.419,-0.752,-0.347,0.503,-0.788,-0.432,0.693,-0.723,-0.530,0.562,-0.771,-0.481,0.388,-0.664,-0.361,0.377,-0.740,-0.456,0.395,-0.800,-63.768,67.761,-111.651,-0.425,0.452,-0.744,0.082,0.134,0.112,-0.194,0.298,-0.150,NoTouching
1.965,2.122,-0.261,1.705,1.144,0.202,1.129,-1.800,1.330,2.202,0.306,0.451,2.096,2.028,0.882,2.549,4.049,-0.580,2.019,1.860,0.170,1.214,1.232,-0.210,1.129,-2.121,1.829,2.280,0.620,0.129,272.095,145.466,61.925,1.802,0.963,0.410,0.626,2.097,0.911,0.347,2.177,2.221,NoTouching
1.926,1.609,0.439,1.188,-1.789,1.797,1.949,0.663,0.322,1.961,1.541,1.081,2.218,3.733,1.087,2.083,2.232,1.002,2.070,1.577,0.086,1.095,-2.110,2.385,2.194,0.857,0.298,2.035,1.776,0.860,281.200,145.447,141.990,1.862,0.963,0.940,0.534,1.960,0.881,0.287,2.035,0.937,NoTouching
1.318,-0.532,1.404,1.483,-0.794,0.659,1.891,1.511,0.578,2.038,2.287,0.328,1.999,3.166,-1.015,1.980,1.669,0.086,1.209,-0.083,0.894,1.235,-1.544,1.054,1.873,1.706,0.472,1.127,1.427,0.979,248.319,128.171,78.195,1.644,0.849,0.518,0.542,1.925,1.119,0.329,2.268,2.161,NoTouching
0.820,-2.153,2.145,1.507,0.940,-0.040,1.194,1.514,0.242,2.352,3.688,-0.745,1.617,1.838,-0.174,1.378,1.376,-0.211,0.588,-2.111,2.255,2.127,0.446,0.530,1.744,1.362,0.954,2.111,2.123,0.774,223.129,126.864,82.865,1.528,0.869,0.568,0.656,1.979,1.060,0.429,2.277,1.868,NoTouching
2.115,1.385,0.080,1.521,1.828,0.937,1.701,4.226,0.765,1.660,1.976,0.605,1.220,1.270,0.085,1.192,-2.031,1.917,2.000,1.772,0.007,1.039,1.890,0.725,1.598,4.259,0.506,1.633,2.182,0.373,241.087,287.047,93.771,1.565,1.864,0.609,0.454,1.829,0.623,0.290,0.981,1.023,NoTouching
1.974,4.204,-0.476,1.478,1.539,0.343,1.136,0.947,0.037,1.093,-2.114,1.761,2.486,1.714,0.822,1.225,1.329,0.904,2.032,4.118,0.542,1.745,1.814,0.729,1.396,1.240,0.270,1.043,-2.422,3.142,242.387,214.835,107.196,1.584,1.404,0.701,0.535,2.136,1.032,0.338,1.521,1.472,NoTouching
1.689,1.990,0.644,1.658,1.471,0.235,0.867,-2.384,1.646,1.867,0.739,0.443,1.728,1.228,0.800,2.528,3.764,0.427,1.964,2.264,0.851,2.327,1.715,0.618,1.455,-1.680,1.378,1.450,-1.184,0.516,273.270,132.701,118.360,1.763,0.856,0.764,0.534,2.201,0.630,0.303,2.570,0.825,NoTouching
1.330,1.515,0.485,1.016,-1.661,1.367,1.545,0.306,0.366,1.550,1.683,0.572,1.689,3.619,0.082,1.548,2.495,0.422,1.619,1.633,0.189,1.123,-1.430,1.509,1.724,-0.086,0.740,2.623,1.747,0.963,236.527,146.629,101.357,1.536,0.952,0.658,0.553,2.014,0.744,0.360,2.115,1.130,NoTouching
1.025,-2.106,1.707,2.646,1.770,0.136,1.067,1.898,0.369,2.215,3.783,-0.238,1.585,1.597,0.235,1.129,1.139,-0.053,1.136,-2.138,1.959,2.428,1.660,0.129,1.316,1.829,0.689,1.994,4.759,0.025,250.702,193.741,79.143,1.639,1.266,0.517,0.730,2.098,0.847,0.445,1.657,1.637,NoTouching
1.815,1.710,-0.063,1.200,1.747,0.450,1.996,4.189,-0.369,1.413,1.608,0.270,1.077,0.904,0.321,1.020,-2.068,1.443,2.061,1.839,0.345,1.283,1.710,0.807,1.904,4.064,0.012,1.398,1.590,0.417,235.689,268.736,56.020,1.521,1.734,0.361,0.562,1.996,0.771,0.369,1.151,2.132,NoTouching
-0.056,-0.284,-0.898,-0.065,-0.141,-0.952,-0.050,0.078,-1.005,-0.087,0.275,-0.991,-0.136,0.362,-0.917,-0.075,0.217,-0.964,-0.139,0.115,-0.976,-0.114,0.137,-0.968,-0.113,0.218,-0.973,-0.106,0.325,-0.901,-14.437,18.885,-147.299,-0.094,0.123,-0.956,0.050,0.215,0.055,-0.530,1.755,-0.057,NoTouching
-0.166,0.356,-0.892,-0.152,0.304,-0.936,-0.121,0.317,-0.949,-0.030,0.243,-0.916,-0.117,0.197,-0.975,-0.180,0.329,-0.937,-0.069,0.245,-0.960,-0.147,0.226,-0.948,-0.117,0.186,-0.976,-0.021,0.194,-0.930,-17.786,40.380,-145.127,-0.115,0.262,-0.942,0.082,0.082,0.059,-0.709,0.314,-0.063,NoTouching
-0.123,0.348,-0.943,-0.083,0.257,-0.919,-0.119,0.220,-0.956,-0.140,0.331,-0.940,-0.129,0.266,-0.935,-0.162,0.298,-0.940,-0.108,0.250,-0.959,-0.152,0.241,-0.936,-0.136,0.249,-0.949,-0.135,0.316,-0.934,-19.674,42.207,-144.018,-0.129,0.276,-0.941,0.061,0.073,0.058,-0.471,0.266,-0.061,NoTouching
-0.139,0.276,-0.951,-0.148,0.290,-0.937,-0.138,0.333,-0.937,-0.109,0.189,-0.950,-0.114,0.260,-0.935,-0.113,0.248,-0.967,-0.126,0.181,-0.973,0.002,0.053,-0.977,-0.107,0.101,-0.987,0.015,0.095,-0.988,-15.680,31.857,-147.712,-0.102,0.207,-0.959,0.068,0.119,0.055,-0.670,0.575,-0.057,NoTouching
-0.043,0.210,-0.955,-0.133,0.221,-0.935,-0.132,0.234,-0.960,-0.134,0.241,-0.945,-0.136,0.274,-0.951,-0.140,0.266,-0.945,-0.122,0.190,-0.957,-0.129,0.225,-0.943,-0.131,0.225,-0.957,-0.140,0.253,-0.950,-18.837,35.658,-145.308,-0.123,0.233,-0.950,0.045,0.048,0.051,-0.366,0.205,-0.054,NoTouching
-0.137,0.243,-0.947,-0.141,0.309,-0.943,-0.153,0.279,-0.946,-0.061,0.100,-0.960,-0.060,0.120,-0.970,-0.217,0.305,-0.952,-0.109,0.253,-0.924,-0.136,0.236,-0.982,-0.124,0.251,-0.933,-0.137,0.211,-0.976,-19.465,35.435,-145.689,-0.127,0.232,-0.952,0.067,0.120,0.080,-0.524,0.518,-0.084,NoTouching
-0.127,0.278,-0.946,-0.084,0.242,-0.941,-0.141,0.225,-0.945,-0.143,0.279,-0.949,-0.140,0.299,-0.934,-0.150,0.316,-0.939,-0.127,0.294,-0.928,-0.140,0.291,-0.917,-0.154,0.262,-0.949,-0.139,0.296,-0.939,-20.552,42.440,-143.601,-0.134,0.277,-0.939,0.040,0.051,0.045,-0.298,0.182,-0.047,NoTouching
-0.175,0.166,-0.970,-0.111,0.253,-0.934,-0.135,0.253,-0.960,-0.132,0.269,-0.950,-0.139,0.219,-0.952,-0.150,0.207,-0.954,-0.069,0.198,-0.963,-0.107,0.220,-0.956,-0.207,0.271,-0.946,-0.162,0.250,-0.944,-20.890,34.891,-144.885,-0.137,0.230,-0.953,0.082,0.065,0.052,-0.598,0.281,-0.055,NoTouching
-0.154,0.276,-0.937,-0.149,0.287,-0.940,-0.133,0.237,-0.969,-0.068,0.210,-0.945,-0.148,0.203,-0.940,-0.130,0.247,-0.957,-0.162,0.297,-0.946,-0.157,0.265,-0.954,-0.135,0.162,-0.927,-0.035,0.161,-1.010,-20.146,36.559,-146.330,-0.131,0.237,-0.950,0.059,0.067,0.064,-0.448,0.284,-0.068,NoTouching
-0.135,0.272,-0.941,-0.140,0.277,-0.936,-0.140,0.311,-0.932,-0.154,0.311,-0.924,-0.149,0.324,-0.923,-0.157,0.317,-0.921,-0.155,0.302,-0.930,-0.140,0.277,-0.942,-0.137,0.302,-0.920,-0.124,0.275,-0.962,-22.160,45.824,-143.546,-0.144,0.298,-0.932,0.018,0.035,0.026,-0.122,0.116,-0.028,NoTouching
-0.291,0.866,0.247,-0.268,0.787,0.099,-0.437,1.001,-0.128,-0.450,0.955,-0.173,-0.417,0.856,-0.074,-0.553,0.823,-0.129,-0.667,0.638,0.054,-0.713,0.639,0.258,-0.749,0.641,0.209,-0.777,0.652,0.047,-78.161,119.858,6.133,-0.518,0.794,0.041,0.176,0.137,0.167,-0.339,0.172,4.106,NoTouching
-0.540,0.530,0.176,-0.585,0.515,0.277,-0.726,0.921,0.333,-0.582,0.401,0.157,-0.407,1.013,0.442,-0.605,0.934,0.089,-0.530,0.702,-0.173,-0.438,0.821,-0.499,-0.516,0.642,-0.302,-0.483,0.952,-0.036,-82.742,111.257,7.698,-0.544,0.732,0.051,0.106,0.249,0.300,-0.195,0.340,5.930,NoTouching
-0.562,0.365,-0.171,-0.379,0.440,-0.155,-0.715,0.966,-0.406,-0.660,0.587,-0.357,-0.366,0.757,-0.418,-0.524,0.830,-0.339,-0.429,0.935,-0.221,-0.393,0.716,-0.518,-0.293,0.205,-0.906,-0.304,0.362,-0.890,-71.559,95.702,-62.970,-0.471,0.630,-0.414,0.153,0.312,0.255,-0.324,0.495,-0.615,NoTouching
-0.276,0.194,-0.936,-0.283,0.205,-0.954,-0.299,-0.014,-0.971,-0.549,0.524,-0.426,-0.574,0.789,-0.413,-0.517,0.524,-0.501,-0.333,0.726,-0.692,-0.336,0.639,-0.670,-0.326,0.644,-0.699,-0.344,0.649,-0.657,-58.275,72.231,-104.765,-0.386,0.478,-0.694,0.120,0.275,0.217,-0.311,0.574,-0.313,NoTouching
-0.361,0.362,-0.796,-0.467,0.449,-0.687,-0.438,0.427,-0.783,-0.383,0.331,-0.794,-0.248,0.498,-0.880,-0.327,0.401,-0.810,-0.292,0.461,-0.845,-0.322,0.461,-0.790,-0.256,0.212,-0.947,-0.193,0.042,-1.041,-50.858,57.915,-124.623,-0.337,0.384,-0.825,0.099,0.151,0.106,-0.293,0.394,-0.129,NoTouching
