f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,class
-0.388,0.862,-0.386,-0.372,0.665,-0.615,-0.388,0.726,-0.498,-0.363,0.763,-0.503,-0.400,0.944,-0.119,-0.412,0.851,0.021,-0.379,0.907,0.047,-0.367,0.929,0.168,-0.351,0.918,0.156,-0.360,0.902,0.169,-57.232,127.327,-26.492,-0.379,0.843,-0.175,0.032,0.124,0.301,-0.086,0.147,-1.717,NoTouching
-0.350,0.890,0.260,-0.350,0.901,0.211,-0.355,0.911,0.205,-0.364,0.936,0.141,-0.359,0.935,-0.106,-0.328,0.727,-0.460,-0.334,0.611,-0.717,-0.393,0.466,-0.707,-0.230,0.447,-0.899,-0.278,0.380,-0.841,-49.569,107.298,-41.996,-0.335,0.725,-0.284,0.058,0.221,0.460,-0.175,0.304,-1.620,NoTouching
-0.561,0.197,-0.076,-0.482,1.120,0.309,-0.500,0.846,0.218,-0.444,0.782,0.179,-0.425,0.838,0.478,-0.408,0.816,0.475,-0.423,0.824,0.284,-0.392,0.905,0.003,-0.335,0.871,-0.370,-0.384,0.847,-0.314,-66.219,121.124,21.782,-0.439,0.802,0.144,0.091,0.289,0.292,-0.208,0.361,2.025,NoTouching
-0.158,0.136,-1.000,-0.232,0.073,-0.952,-0.324,0.312,-0.816,-0.244,0.486,-0.841,-0.207,0.388,-0.891,-0.216,0.353,-0.905,-0.231,0.409,-0.877,-0.289,0.341,-0.872,-0.331,0.353,-0.845,-0.328,0.325,-0.817,-38.015,47.863,-133.702,-0.252,0.317,-0.885,0.061,0.126,0.062,-0.244,0.398,-0.070,NoTouching
-0.268,0.465,-0.814,-0.274,0.576,-0.765,-0.295,0.469,-0.805,-0.264,0.578,-0.760,-0.262,0.565,-0.749,-0.266,0.585,-0.759,-0.266,0.549,-0.766,-0.274,0.561,-0.759,-0.260,0.558,-0.780,-0.283,0.524,-0.833,-40.828,82.169,-117.145,-0.270,0.544,-0.776,0.019,0.071,0.047,-0.071,0.131,-0.061,NoTouching
0.144,0.716,0.045,0.641,1.116,0.407,0.190,0.691,-0.055,0.287,0.936,0.460,0.595,0.486,0.962,0.078,0.840,0.362,0.475,1.035,0.317,0.511,0.480,-0.614,0.356,0.195,-0.503,0.356,1.346,0.403,54.903,113.331,24.915,0.364,0.751,0.165,0.411,0.421,0.668,1.130,0.562,4.047,NoTouching
0.534,0.780,0.737,0.252,0.630,0.674,0.146,0.783,0.353,0.491,0.544,1.200,-0.006,0.693,0.363,0.631,0.980,0.651,0.193,0.512,-0.471,0.785,0.296,-0.504,0.135,0.876,-0.133,0.775,1.163,0.613,56.005,105.627,50.230,0.371,0.700,0.333,0.422,0.387,0.700,1.137,0.553,2.105,NoTouching
0.445,0.601,0.749,0.132,0.603,0.744,0.503,0.315,1.005,-0.024,0.564,0.654,0.651,0.381,1.091,-0.055,0.654,0.412,0.637,0.526,0.968,0.171,0.844,0.381,0.493,1.056,0.133,0.326,0.236,-0.512,49.523,90.361,94.624,0.328,0.598,0.627,0.463,0.328,0.510,1.410,0.548,0.814,NoTouching
0.206,0.694,0.692,0.222,0.655,0.554,0.491,0.890,0.779,-0.021,0.729,0.213,0.585,0.591,1.076,0.008,0.682,0.359,0.584,0.610,0.837,0.331,0.823,0.531,0.163,0.725,0.428,0.153,1.284,0.053,42.163,111.362,87.870,0.279,0.737,0.582,0.510,0.268,0.574,1.827,0.363,0.986,NoTouching
0.040,0.831,-0.025,0.393,0.663,0.636,0.047,0.618,0.699,0.560,0.316,1.142,-0.146,0.717,0.364,0.643,0.507,1.056,-0.073,0.828,0.311,0.467,0.560,0.838,0.366,0.896,0.633,0.208,0.894,0.477,38.225,101.222,93.797,0.253,0.670,0.621,0.540,0.293,0.564,2.134,0.438,0.908,NoTouching
0.230,0.882,0.408,0.271,0.822,0.273,0.320,0.897,0.743,0.319,0.742,0.498,0.025,0.630,0.596,0.449,0.333,0.925,0.043,0.560,0.925,0.391,0.312,0.925,0.132,0.744,0.544,0.242,0.608,0.601,36.324,97.959,96.559,0.242,0.653,0.644,0.579,0.341,0.643,2.393,0.523,0.999,NoTouching
0.012,0.708,0.116,0.393,0.745,0.695,0.304,0.895,0.594,0.116,0.867,0.251,0.381,0.705,0.749,0.092,1.000,0.305,0.468,1.203,0.170,0.274,0.015,-0.709,0.680,0.730,-0.640,0.160,-0.288,-0.963,44.647,107.871,17.757,0.296,0.714,0.118,0.490,0.511,0.761,1.659,0.715,6.471,NoTouching
0.690,-0.098,-0.893,0.326,-0.663,-0.576,0.764,-0.035,-0.803,0.344,0.504,-0.493,-0.004,1.424,-0.405,0.202,0.527,-0.027,0.355,0.999,0.706,0.173,0.708,0.721,-0.123,0.696,0.297,0.433,0.451,0.509,47.075,68.604,-19.480,0.310,0.451,-0.128,0.466,0.760,0.841,1.506,1.684,-6.560,NoTouching
-0.065,0.676,0.465,0.541,0.344,1.192,-0.052,0.872,0.341,0.489,1.292,0.539,0.353,0.073,-0.635,0.529,0.254,-0.803,0.641,0.502,-0.762,0.272,0.278,-0.726,0.530,1.119,-0.124,0.177,0.902,-0.442,53.052,92.864,-11.291,0.351,0.615,-0.075,0.445,0.596,0.742,1.266,0.970,-9.922,NoTouching
0.146,0.830,0.050,-0.057,0.822,0.161,0.036,1.107,0.147,0.499,0.442,-0.780,0.828,0.276,-0.931,0.942,0.083,-0.384,0.750,0.247,-0.256,1.227,0.462,0.006,1.259,0.872,0.043,0.567,0.207,-0.091,94.069,83.718,-31.750,0.623,0.554,-0.210,0.549,0.469,0.450,0.882,0.846,-2.139,NoTouching
-0.059,0.011,-0.979,-0.059,-0.025,-1.007,-0.217,-0.023,-1.020,-0.133,0.437,-0.757,-0.194,0.265,-1.045,-0.056,0.157,-0.861,-0.590,0.715,-0.898,-0.804,0.436,-0.471,-0.622,-0.009,-0.375,-0.872,0.031,-0.415,-52.485,31.746,-122.744,-0.341,0.206,-0.797,0.338,0.285,0.274,-0.990,1.381,-0.344,NoTouching
-0.437,-0.143,-0.887,-0.417,-0.130,-0.907,-0.689,0.255,-0.764,-0.931,0.041,-0.422,-0.789,-0.200,-0.259,-0.895,-0.165,-0.295,-0.913,-0.164,-0.354,-0.921,-0.163,-0.333,-0.921,-0.182,-0.304,-0.924,-0.194,-0.316,-117.984,-15.142,-74.932,-0.776,-0.100,-0.493,0.205,0.161,0.255,-0.264,-1.616,-0.517,NoTouching
0.068,-0.177,-0.973,0.111,-0.266,-0.939,-0.669,-0.099,-1.108,-0.336,0.445,-0.743,0.259,0.163,-0.819,0.132,-0.016,-1.014,0.406,0.170,-1.214,-0.545,0.569,-0.252,-0.806,0.289,-0.361,-0.761,0.552,-0.288,-28.938,22.199,-121.361,-0.189,0.145,-0.793,0.489,0.366,0.364,-2.586,2.520,-0.459,NoTouching
-0.029,-0.211,-0.970,0.054,-0.168,-1.079,-0.390,0.181,-1.143,-0.648,0.028,-0.216,-0.811,0.358,-0.280,-0.880,0.454,-0.237,-0.917,0.345,-0.266,-0.840,0.304,-0.100,-0.869,0.343,-0.256,-0.557,0.449,-0.333,-89.744,29.744,-75.405,-0.590,0.196,-0.496,0.362,0.245,0.410,-0.614,1.254,-0.825,NoTouching
-0.188,0.087,-0.962,-0.182,0.095,-0.957,-0.187,0.151,-0.939,-0.564,0.505,-1.188,-0.668,0.097,-0.743,-0.586,0.012,-0.368,-0.746,0.230,-0.266,-0.984,0.054,-0.330,-0.907,0.111,-0.279,-0.949,0.101,-0.287,-87.775,22.291,-98.813,-0.577,0.147,-0.650,0.318,0.164,0.350,-0.552,1.117,-0.538,NoTouching
-0.249,0.102,-0.944,-0.241,0.133,-0.941,-0.492,0.350,-0.881,-0.336,0.576,-0.603,-0.212,0.903,-0.447,-0.299,1.032,-0.491,-0.562,0.680,-0.539,-0.650,0.166,-0.572,-0.691,-0.044,-0.622,-0.703,-0.118,-0.628,-65.327,61.439,-101.675,-0.430,0.404,-0.669,0.191,0.382,0.189,-0.445,0.945,-0.282,NoTouching
-0.130,-0.108,-0.971,-0.046,-0.126,-1.001,-0.517,0.467,-1.219,-0.695,-0.019,-0.354,-0.714,-0.262,-0.237,-0.841,-0.269,-0.360,-0.826,-0.281,-0.331,-0.904,-0.312,-0.389,-0.774,-0.297,-0.290,-0.751,-0.370,-0.215,-93.157,-22.256,-84.152,-0.613,-0.146,-0.554,0.311,0.245,0.374,-0.508,-1.674,-0.675,NoTouching
-0.128,0.105,-1.019,-0.163,0.247,-0.953,-0.630,0.444,-0.523,-0.348,0.655,-0.734,-0.326,0.298,-0.860,-0.323,0.501,-0.876,-0.878,0.721,-0.450,-0.705,0.128,-0.334,-0.812,0.080,-0.344,-0.929,0.110,-0.285,-76.418,51.749,-99.748,-0.503,0.340,-0.656,0.324,0.260,0.284,-0.645,0.763,-0.433,NoTouching
-0.360,-0.113,-0.938,-0.579,0.185,-0.827,-0.858,0.495,-0.265,-0.805,0.348,-0.245,-0.864,0.402,-0.177,-0.896,0.377,-0.108,-0.814,0.421,-0.203,-0.723,0.445,-0.242,-0.738,0.490,-0.155,-0.667,0.632,-0.332,-111.539,53.876,-53.217,-0.734,0.354,-0.350,0.166,0.202,0.293,-0.227,0.570,-0.836,NoTouching
-0.040,-0.275,-0.942,-0.022,-0.288,-0.918,-0.205,-0.084,-1.101,-0.521,0.257,-1.129,-0.652,0.075,-0.549,-0.713,-0.032,-0.218,-0.829,-0.132,-0.251,-1.000,-0.209,-0.190,-0.969,-0.088,-0.196,-0.970,-0.030,-0.152,-86.972,-12.666,-89.121,-0.572,-0.083,-0.586,0.388,0.182,0.401,-0.678,-2.187,-0.684,NoTouching
-0.148,0.061,-0.989,-0.096,0.003,-1.020,-0.489,0.340,-0.705,-0.334,0.458,-0.805,-0.268,0.502,-0.917,-0.646,0.805,-0.494,-0.771,0.414,-0.384,-0.769,0.078,-0.402,-0.859,0.101,-0.339,-0.993,0.134,-0.237,-78.048,45.252,-98.782,-0.513,0.298,-0.650,0.300,0.271,0.279,-0.585,0.909,-0.429,NoTouching
-0.066,-0.165,-0.984,-0.005,-0.108,-1.220,-0.654,0.061,-0.932,-0.661,0.169,-0.332,-0.674,0.103,-0.307,-0.853,0.092,-0.344,-1.026,0.164,-0.263,-0.947,0.205,-0.203,-0.918,0.281,-0.212,-0.916,0.307,-0.263,-100.172,15.283,-78.860,-0.659,0.101,-0.519,0.389,0.163,0.388,-0.591,1.619,-0.748,NoTouching
-0.245,-0.009,-0.956,-0.306,0.071,-0.948,-0.500,0.505,-0.661,-0.272,0.759,-0.635,-0.361,0.921,-0.573,-0.571,0.718,-0.620,-0.662,0.208,-0.532,-0.682,-0.035,-0.509,-0.749,-0.193,-0.536,-0.799,-0.204,-0.562,-76.736,45.278,-100.559,-0.502,0.296,-0.657,0.209,0.408,0.172,-0.416,1.377,-0.262,NoTouching
-0.148,0.107,-0.966,-0.153,0.128,-0.962,-0.134,0.166,-1.025,-0.499,0.193,-1.140,-0.572,0.146,-0.632,-0.661,0.144,-0.453,-0.780,0.082,-0.555,-0.784,0.021,-0.536,-0.806,0.039,-0.580,-0.831,0.031,-0.564,-79.270,16.678,-114.092,-0.522,0.110,-0.751,0.282,0.094,0.254,-0.540,0.854,-0.338,NoTouching
-0.268,0.070,-0.954,-0.247,0.145,-0.972,-0.610,0.628,-0.712,-0.798,0.632,-0.102,-0.689,0.389,-0.168,-0.939,0.339,0.041,-0.962,0.302,0.012,-0.820,0.381,-0.086,-0.745,0.377,-0.066,-0.741,0.481,0.037,-103.174,56.045,-47.796,-0.679,0.369,-0.314,0.256,0.187,0.405,-0.376,0.508,-1.287,NoTouching
-0.273,0.088,-0.951,-0.271,0.143,-0.958,-0.522,0.359,-0.945,-0.831,0.504,-0.593,-0.741,0.077,-0.331,-0.861,-0.227,-0.274,-0.938,-0.287,-0.200,-0.848,-0.330,-0.110,-0.811,-0.398,-0.231,-0.827,-0.398,-0.285,-104.129,-4.301,-75.767,-0.685,-0.028,-0.498,0.243,0.312,0.336,-0.355,-11.038,-0.673,NoTouching
-0.455,0.636,-0.622,-0.463,0.663,-0.611,-0.547,0.684,-0.587,-0.738,0.565,-0.507,-0.797,0.294,-0.394,-0.846,0.117,-0.246,-0.959,0.025,-0.228,-0.985,0.005,-0.243,-0.951,-0.045,-0.148,-0.930,-0.074,-0.135,-115.314,46.515,-58.442,-0.759,0.306,-0.384,0.202,0.303,0.184,-0.266,0.989,-0.480,NoTouching
-0.128,-0.012,-0.971,-0.038,0.124,-1.123,-0.643,0.437,-1.082,-0.692,-0.035,-0.291,-0.706,-0.238,-0.168,-0.891,-0.191,-0.333,-0.902,-0.225,-0.343,-0.887,-0.242,-0.344,-0.906,-0.232,-0.252,-0.851,-0.328,-0.345,-98.651,-12.086,-80.915,-0.653,-0.080,-0.536,0.318,0.229,0.377,-0.487,-2.855,-0.703,NoTouching
-0.201,0.250,-0.933,-0.189,0.253,-0.928,-0.181,0.306,-0.927,-0.382,0.627,-1.062,-0.718,0.449,-0.530,-0.724,-0.076,-0.161,-0.803,-0.243,-0.282,-0.907,-0.202,-0.274,-0.950,-0.202,-0.267,-0.935,-0.191,-0.246,-88.389,17.070,-87.801,-0.582,0.112,-0.578,0.314,0.314,0.353,-0.541,2.799,-0.611,NoTouching
-0.018,-0.220,-0.939,0.021,-0.102,-1.092,-0.504,0.321,-0.954,-0.810,0.238,-0.410,-0.753,-0.179,-0.253,-0.940,-0.053,-0.262,-0.965,-0.056,-0.221,-0.980,-0.060,-0.149,-0.964,-0.042,-0.184,-0.968,-0.043,-0.183,-102.341,-2.794,-72.871,-0.673,-0.018,-0.479,0.384,0.183,0.364,-0.571,-9.951,-0.759,NoTouching
-0.303,0.792,-0.504,-0.267,0.781,-0.520,-0.297,0.970,-0.431,-0.724,0.818,0.068,-0.793,0.415,0.028,-0.869,0.284,-0.119,-0.926,0.265,-0.097,-0.909,0.265,-0.049,-0.968,0.229,-0.162,-0.853,0.261,-0.070,-103.732,79.196,-29.135,-0.682,0.521,-0.192,0.284,0.293,0.221,-0.416,0.563,-1.153,NoTouching
-0.290,0.314,-0.898,-0.212,0.293,-1.020,-0.344,0.176,-0.751,-0.447,0.298,-0.783,-0.323,0.560,-0.803,-0.779,1.066,-0.167,-0.694,0.763,0.277,-0.509,0.597,0.091,-0.789,0.332,0.177,-0.962,0.454,-0.034,-76.906,73.545,-62.268,-0.509,0.487,-0.412,0.237,0.276,0.495,-0.466,0.566,-1.201,NoTouching
-0.293,0.290,-0.892,-0.277,0.298,-0.889,-0.292,0.360,-0.932,-0.670,0.790,-0.680,-0.644,0.815,-0.011,-0.535,0.743,-0.142,-0.835,0.428,-0.015,-0.944,0.387,-0.006,-0.821,0.309,0.012,-0.813,0.486,-0.105,-91.490,74.602,-57.736,-0.602,0.491,-0.380,0.249,0.218,0.422,-0.414,0.445,-1.111,NoTouching
-0.282,0.246,-0.909,-0.266,0.232,-0.920,-0.247,0.233,-0.915,-0.333,0.205,-0.882,-0.392,0.533,-0.930,-0.817,0.858,-0.661,-0.629,0.096,-0.260,-0.692,-0.242,-0.267,-0.916,-0.238,-0.277,-0.923,-0.276,-0.252,-81.483,28.269,-98.581,-0.533,0.185,-0.644,0.262,0.354,0.307,-0.492,1.918,-0.476,NoTouching
-0.277,0.264,-0.905,-0.269,0.272,-0.902,-0.279,0.313,-0.904,-0.537,0.484,-1.005,-0.726,0.499,-0.677,-0.630,0.377,-0.366,-0.710,0.239,-0.121,-0.897,0.106,-0.027,-1.043,0.169,0.071,-0.990,0.256,0.037,-93.817,45.621,-77.090,-0.617,0.300,-0.507,0.299,0.133,0.419,-0.485,0.444,-0.826,NoTouching
-0.403,0.227,-0.940,-0.433,0.336,-0.708,-0.251,0.630,-0.748,-0.278,0.692,-0.669,-0.349,0.859,-0.731,-0.580,0.586,-0.702,-0.690,0.073,-0.612,-0.681,-0.186,-0.575,-0.671,-0.360,-0.551,-0.667,-0.419,-0.535,-74.702,42.377,-104.067,-0.491,0.279,-0.685,0.178,0.425,0.122,-0.361,1.526,-0.179,NoTouching
-0.270,0.131,-1.003,-0.394,0.212,-0.810,-0.158,0.537,-0.778,-0.276,0.948,-0.697,-0.514,0.668,-0.621,-0.670,0.205,-0.394,-0.871,0.054,-0.377,-0.957,0.057,-0.335,-0.932,0.091,-0.220,-0.954,0.023,-0.144,-87.363,46.612,-84.772,-0.579,0.309,-0.561,0.303,0.313,0.264,-0.524,1.012,-0.471,NoTouching
-0.125,-0.153,-1.018,-0.179,-0.023,-1.026,-0.571,0.296,-0.684,-0.986,0.369,-0.382,-0.681,0.192,-0.500,-0.774,0.400,-0.349,-0.799,0.393,-0.359,-0.741,-0.011,-0.468,-0.539,0.007,-0.385,-0.531,0.461,-0.635,-90.539,27.223,-87.798,-0.596,0.179,-0.578,0.278,0.262,0.269,-0.467,1.461,-0.466,NoTouching
-0.183,-0.005,-1.003,-0.417,0.001,-1.152,-0.578,0.100,-0.922,-0.534,0.077,-0.427,-0.676,0.049,-0.256,-1.038,0.167,-0.447,-0.897,0.075,-0.433,-0.881,-0.095,-0.293,-0.788,0.366,-0.644,-0.818,0.264,-0.499,-102.432,13.869,-93.226,-0.674,0.091,-0.613,0.361,0.145,0.312,-0.536,1.588,-0.509,NoTouching
-0.120,-0.275,-1.001,-0.202,-0.145,-1.024,-0.744,0.030,-0.621,-0.775,0.036,-0.491,-0.750,0.281,-0.507,-0.675,0.172,-0.532,-0.722,0.192,-0.359,-0.478,0.800,-0.638,-0.298,0.579,-0.947,-0.227,0.267,-0.909,-77.848,28.597,-104.294,-0.516,0.189,-0.691,0.266,0.335,0.262,-0.516,1.768,-0.380,NoTouching
-0.103,-0.319,-0.958,-0.141,-0.213,-1.177,-0.630,0.336,-0.741,-0.704,-0.179,-0.310,-0.798,-0.125,-0.356,-0.893,-0.028,-0.500,-0.885,-0.048,-0.465,-0.855,-0.042,-0.376,-0.904,-0.190,-0.468,-0.813,-0.097,-0.432,-101.114,-13.684,-89.067,-0.665,-0.090,-0.586,0.298,0.195,0.298,-0.448,-2.164,-0.508,NoTouching
-0.100,-0.173,-0.978,-0.108,-0.084,-1.031,-0.480,0.890,-0.552,-0.778,0.272,-0.320,-0.809,0.319,-0.214,-0.969,0.368,-0.126,-0.901,0.326,-0.063,-0.976,0.352,-0.130,-0.849,0.330,-0.164,-0.779,0.311,-0.369,-101.754,44.071,-60.206,-0.669,0.290,-0.396,0.336,0.294,0.361,-0.502,1.016,-0.911,NoTouching
-0.053,-0.076,-1.063,-0.128,-0.084,-0.916,-0.472,-0.035,-0.700,-0.388,0.470,-0.896,-0.652,0.907,-0.450,-0.883,0.639,-0.297,-0.662,0.148,-0.304,-0.916,0.084,-0.156,-0.971,0.067,-0.144,-0.990,0.061,-0.108,-88.936,34.335,-79.558,-0.589,0.227,-0.527,0.337,0.344,0.352,-0.572,1.512,-0.668,NoTouching
-0.099,-0.161,-0.970,-0.087,-0.191,-1.046,-0.430,0.028,-1.255,-0.647,0.229,-0.721,-0.798,0.160,-0.272,-0.819,0.120,-0.138,-0.882,0.056,-0.144,-0.936,0.040,-0.174,-0.918,0.023,-0.249,-0.880,0.020,-0.262,-96.869,5.026,-81.598,-0.637,0.033,-0.537,0.322,0.133,0.423,-0.505,4.034,-0.787,NoTouching
-0.083,-0.039,-1.004,0.006,-0.322,-1.245,-0.506,0.209,-0.530,-0.160,0.265,-0.902,-0.205,0.035,-1.011,-0.016,0.157,-1.056,-0.466,0.624,-0.628,-0.754,0.555,-0.338,-0.620,0.452,-0.614,-0.771,0.385,-0.408,-50.245,33.652,-120.113,-0.333,0.223,-0.795,0.314,0.299,0.333,-0.943,1.343,-0.418,NoTouching
-0.097,0.037,-1.018,0.005,-0.013,-0.924,-0.496,0.085,-0.856,-0.218,0.390,-1.018,-0.736,0.832,-0.534,-0.780,0.392,-0.278,-0.710,0.003,-0.442,-0.898,0.011,-0.295,-0.946,-0.034,-0.216,-0.925,-0.029,-0.239,-85.409,27.044,-91.199,-0.562,0.178,-0.600,0.350,0.296,0.333,-0.623,1.666,-0.555,NoTouching
-0.007,-0.044,-1.038,0.017,0.066,-0.932,-0.501,0.137,-0.711,-0.397,0.371,-0.985,-0.197,0.477,-0.921,-0.681,0.980,-0.711,-0.687,0.390,-0.358,-0.663,-0.176,-0.233,-0.878,-0.166,-0.191,-0.951,-0.189,-0.211,-71.320,28.255,-93.745,-0.485,0.192,-0.638,0.332,0.373,0.339,-0.684,1.940,-0.531,NoTouching
-0.050,-0.007,-1.014,-0.090,0.071,-0.930,-0.443,0.159,-0.855,-0.280,0.484,-0.947,-0.691,0.855,-0.550,-0.691,0.284,-0.264,-0.801,0.017,-0.291,-0.957,0.107,-0.280,-0.934,0.087,-0.206,-0.962,0.112,-0.214,-86.695,33.814,-87.144,-0.570,0.222,-0.573,0.340,0.279,0.336,-0.596,1.254,-0.586,NoTouching
-0.138,-0.042,-1.026,-0.308,0.214,-0.827,-0.229,0.562,-0.806,-0.222,0.741,-0.759,-0.510,0.787,-0.757,-0.652,0.284,-0.550,-0.737,-0.015,-0.378,-0.833,-0.187,-0.322,-0.934,-0.125,-0.329,-0.949,-0.159,-0.306,-80.610,34.214,-94.508,-0.530,0.225,-0.622,0.292,0.369,0.250,-0.551,1.638,-0.403,NoTouching
-0.135,0.032,-0.981,-0.221,0.147,-1.020,-0.392,0.324,-0.780,-0.243,0.533,-0.813,-0.245,0.801,-0.782,-0.479,0.601,-0.853,-0.605,0.096,-0.567,-0.710,-0.179,-0.419,-0.787,-0.347,-0.429,-0.809,-0.415,-0.429,-67.528,28.809,-109.725,-0.444,0.190,-0.722,0.236,0.384,0.220,-0.530,2.028,-0.305,NoTouching
