f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,class
0.006,0.023,-0.040,-0.154,0.168,0.474,0.455,0.134,0.104,0.328,0.791,0.641,0.248,-0.025,0.015,0.017,NearMiss
-0.143,-0.131,-0.151,0.101,0.365,0.077,-0.224,-0.176,-0.162,-0.167,-0.169,-0.153,-0.172,-0.182,-0.189,-0.190,NearMiss
-0.178,-0.181,-0.304,-0.330,0.246,0.334,0.307,0.211,-0.025,-0.002,0.082,0.920,0.194,0.286,0.489,0.568,NearMiss
-0.208,-0.195,-0.176,0.019,0.271,0.022,0.107,0.462,0.505,0.367,0.330,0.345,0.268,0.327,0.452,0.393,NearMiss
0.086,0.092,0.095,0.105,0.251,0.586,0.232,0.051,-0.091,0.240,0.221,0.027,0.089,0.099,0.144,0.017,NearMiss
0.102,0.114,0.125,0.256,0.434,0.504,0.858,0.911,1.023,0.980,0.644,0.284,0.076,-0.054,-0.084,-0.148,NearMiss
-0.108,-0.124,-0.124,0.319,0.463,-0.006,-0.234,-0.261,-0.260,-0.294,-0.261,-0.367,-0.249,-0.308,-0.339,-0.368,NearMiss
0.068,0.197,0.259,0.309,0.585,0.613,0.437,0.332,0.366,0.781,0.701,0.266,0.050,0.077,0.109,0.137,NearMiss
-0.129,-0.047,0.197,0.513,0.453,0.342,0.373,0.406,0.370,0.408,0.401,0.456,0.443,0.420,0.633,0.742,NearMiss
-0.283,-0.267,-0.292,-0.198,0.034,0.306,0.175,0.021,0.042,-0.128,-0.143,-0.191,-0.180,-0.072,-0.089,-0.009,NearMiss
0.050,0.046,-0.004,0.208,0.469,0.506,0.335,0.573,0.795,0.742,0.377,0.113,0.068,0.098,0.127,0.119,NearMiss
-0.211,-0.120,-0.100,-0.075,0.216,0.168,0.137,0.080,0.130,0.074,0.150,0.226,0.209,0.290,0.290,0.330,NearMiss
-0.014,-0.013,0.040,0.404,0.611,0.783,0.823,0.961,0.825,0.474,0.169,0.005,-0.071,-0.198,-0.202,-0.231,NearMiss
0.119,0.108,0.115,0.146,0.189,0.211,0.151,0.146,0.140,0.142,0.073,0.028,0.020,0.043,0.033,0.028,NearMiss
0.073,0.068,0.137,0.479,0.748,0.637,0.469,0.369,0.341,0.324,0.309,0.315,0.440,0.374,0.420,0.506,NearMiss
0.088,0.092,0.140,0.309,0.413,0.524,0.334,-0.024,-0.223,-0.238,-0.296,-0.326,-0.337,-0.399,-0.410,-0.381,NearMiss
0.641,0.632,0.658,0.697,0.671,0.595,0.398,0.256,0.136,0.064,0.018,0.032,-0.024,-0.028,-0.081,-0.057,NearMiss
-0.016,0.016,0.136,0.381,0.397,-0.039,-0.222,-0.210,-0.180,-0.233,-0.212,-0.204,-0.267,-0.241,-0.284,-0.320,NearMiss
0.249,0.252,0.248,0.280,0.328,0.625,0.715,0.319,-0.020,-0.210,-0.235,-0.223,-0.182,-0.212,-0.189,-0.186,NearMiss
-0.227,-0.195,-0.094,0.136,0.467,0.282,-0.073,-0.205,-0.078,-0.019,-0.065,-0.062,-0.058,-0.042,-0.039,-0.040,NearMiss
0.798,0.786,0.777,0.892,1.010,0.882,0.606,0.290,0.251,0.332,0.249,0.245,0.277,0.232,0.238,0.268,NearMiss
0.321,0.308,0.297,0.164,0.221,0.309,0.346,0.658,1.080,0.977,0.732,0.688,0.475,0.301,0.431,0.463,NearMiss
0.286,0.294,0.300,0.299,0.444,0.777,0.878,0.805,0.786,0.569,0.439,0.368,0.429,0.286,0.408,0.454,NearMiss
0.244,0.247,0.236,0.244,0.213,0.185,0.269,0.678,0.970,0.557,0.036,-0.228,-0.241,-0.232,-0.273,-0.265,NearMiss
0.268,0.268,0.261,0.294,0.341,0.457,0.608,0.435,0.357,0.367,0.231,0.125,0.096,0.146,0.259,0.256,NearMiss
0.192,0.286,0.334,0.576,0.657,0.654,0.805,0.887,0.683,0.341,0.043,-0.099,-0.277,-0.357,-0.406,-0.414,NearMiss
0.133,0.153,0.197,0.483,0.629,0.933,0.919,0.548,0.262,0.092,0.049,0.069,0.041,0.075,0.072,0.072,NearMiss
-0.152,-0.125,-0.029,0.209,0.419,0.446,0.141,0.183,0.363,0.418,0.433,0.288,-0.293,-0.029,0.334,0.590,NearMiss
-0.025,0.003,0.015,0.041,0.146,0.083,0.011,0.081,0.191,0.103,0.085,-0.030,-0.105,0.401,0.352,0.172,NearMiss
-0.293,-0.210,-0.146,0.073,-0.046,-0.037,0.267,0.276,0.231,0.059,0.205,0.668,0.864,0.567,0.355,0.261,NearMiss
-0.300,-0.360,-0.211,0.388,0.163,-0.201,-0.173,-0.105,-0.023,-0.062,-0.022,-0.061,-0.059,-0.225,-0.095,-0.101,NearMiss
-0.179,-0.192,-0.114,0.719,0.882,0.248,0.272,0.324,0.420,0.281,0.352,0.337,0.349,0.330,0.313,0.339,NearMiss
-0.097,-0.057,-0.093,-0.041,0.043,0.419,0.769,0.948,0.814,0.304,0.127,0.080,0.085,0.065,0.065,0.047,NearMiss
-0.160,-0.184,-0.187,-0.053,0.117,0.247,0.149,0.177,0.132,0.091,0.052,0.038,0.039,0.023,0.018,0.021,NearMiss
-0.052,-0.049,-0.454,0.084,0.297,0.308,0.086,0.015,0.085,0.359,0.676,0.592,0.532,0.470,0.376,0.373,NearMiss
0.028,0.103,-0.087,0.126,0.016,0.352,0.743,0.850,0.506,0.140,-0.017,0.014,0.004,-0.039,-0.019,-0.065,NearMiss
-0.067,-0.005,0.104,0.159,0.253,0.349,0.414,0.805,0.967,0.548,-0.011,-0.216,-0.171,-0.177,-0.183,0.253,NearMiss
-0.014,0.030,0.060,0.121,0.201,0.446,0.850,0.806,0.385,0.068,0.018,0.096,0.105,0.084,0.102,0.116,NearMiss
-0.044,0.001,0.233,0.470,0.637,0.702,0.895,0.725,0.377,0.097,-0.027,-0.135,-0.223,-0.099,-0.153,-0.179,NearMiss
0.024,0.069,0.153,0.295,0.353,0.505,0.669,0.871,0.734,0.320,0.068,-0.142,-0.206,-0.350,-0.406,-0.377,NearMiss
-0.282,-0.275,-0.264,-0.271,-0.268,-0.268,-0.197,0.062,0.336,0.475,0.231,0.077,0.132,0.189,0.105,-0.268,NearMiss
0.216,0.326,0.499,0.437,0.063,0.206,0.260,0.414,0.209,0.170,0.173,-0.029,0.176,0.584,0.451,0.362,NearMiss
0.100,0.111,0.104,0.407,0.818,0.620,0.305,-0.068,-0.239,-0.183,-0.141,-0.168,-0.136,-0.125,-0.102,-0.100,NearMiss
0.201,0.203,0.198,0.428,0.756,0.644,0.597,0.313,0.098,-0.014,0.191,0.076,0.065,0.115,0.138,0.135,NearMiss
0.193,0.226,0.187,0.492,0.706,0.734,0.680,0.333,0.023,-0.206,-0.171,-0.156,-0.091,-0.059,-0.042,-0.040,NearMiss
0.195,0.186,0.188,0.190,0.179,0.176,0.191,0.450,0.636,0.724,0.978,0.921,0.240,-0.186,-0.289,-0.209,NearMiss
0.159,0.162,0.248,0.736,0.714,0.245,-0.055,-0.254,-0.275,-0.253,-0.255,-0.313,-0.298,-0.283,-0.259,-0.301,NearMiss
0.193,0.109,-0.006,-0.088,0.109,0.298,0.374,0.088,0.114,0.014,0.273,0.468,0.285,0.296,0.411,0.358,NearMiss
0.244,0.257,0.296,0.536,0.700,0.672,0.407,0.181,0.121,0.002,-0.081,-0.127,-0.164,-0.202,-0.237,-0.276,NearMiss
0.267,0.245,0.327,0.550,0.731,0.651,0.543,0.441,0.400,0.464,0.380,0.342,0.341,0.402,0.431,0.425,NearMiss
0.039,0.090,0.427,1.322,0.941,0.259,0.185,0.214,0.270,0.237,0.260,0.227,0.308,0.207,0.204,0.258,NearMiss
0.092,0.154,0.169,0.314,0.682,1.067,0.909,0.444,0.323,0.406,0.395,0.327,0.318,0.367,0.370,0.466,NearMiss
-0.041,-0.004,0.188,0.698,0.494,-0.020,-0.239,-0.162,-0.129,-0.185,-0.185,-0.158,-0.171,-0.125,-0.184,-0.148,NearMiss
0.156,0.157,0.164,0.178,0.448,0.565,0.455,0.303,0.118,0.034,-0.066,-0.100,-0.198,-0.211,-0.223,-0.232,NearMiss
-0.019,0.000,-0.034,0.291,0.907,0.694,0.325,-0.014,-0.171,-0.148,-0.117,-0.071,-0.051,-0.059,-0.057,-0.051,NearMiss
0.092,0.123,0.138,0.325,0.748,1.113,0.807,0.445,0.351,0.349,0.373,0.275,0.297,0.231,0.271,0.289,NearMiss
0.020,0.188,0.729,0.955,0.184,-0.195,-0.260,-0.076,-0.152,-0.195,-0.040,-0.119,-0.206,-0.143,-0.155,-0.182,NearMiss
0.537,0.524,0.549,0.630,0.994,0.838,0.571,0.296,0.171,0.109,-0.001,-0.024,-0.058,-0.086,-0.143,-0.149,NearMiss
0.438,0.758,1.125,0.936,0.405,-0.023,-0.197,-0.115,-0.140,-0.208,-0.134,-0.142,-0.190,-0.237,-0.229,-0.238,NearMiss
0.202,0.193,0.484,1.411,0.894,0.196,0.164,0.274,0.274,0.278,0.252,0.222,0.300,0.928,1.319,1.558,NearMiss
0.559,0.598,0.584,0.624,1.104,1.081,0.784,0.431,0.207,-0.010,-0.096,-0.110,-0.230,-0.135,-0.124,-0.131,NearMiss
0.209,0.202,0.202,0.203,0.425,0.957,0.583,0.505,0.248,0.140,0.072,0.084,0.034,-0.013,0.174,0.128,NearMiss
0.176,0.190,0.252,0.393,0.483,0.323,0.221,0.126,0.107,0.433,0.343,0.295,0.272,0.288,0.398,0.268,NearMiss
0.196,0.200,0.202,0.185,0.338,0.994,0.893,0.715,0.392,0.159,0.259,0.286,0.173,0.135,0.079,0.066,NearMiss
0.208,0.207,0.204,0.808,0.705,0.527,0.151,-0.059,-0.168,-0.167,-0.051,-0.040,-0.135,-0.064,0.280,0.367,NearMiss
0.210,0.203,0.316,0.711,0.636,0.535,0.365,0.310,0.390,0.392,0.180,0.301,0.241,0.196,0.181,0.142,NearMiss
0.210,0.223,0.243,0.375,0.568,0.849,0.605,0.467,0.387,0.443,0.458,0.409,0.445,0.389,0.455,0.484,NearMiss
0.473,0.494,0.555,0.722,0.720,0.566,0.358,0.185,0.019,-0.088,-0.195,-0.130,-0.163,-0.101,-0.129,-0.179,NearMiss
0.007,0.033,-0.007,0.249,0.759,0.533,0.052,-0.251,-0.330,-0.261,-0.332,-0.249,-0.253,-0.394,-0.294,-0.283,NearMiss
0.368,0.454,0.626,0.646,0.542,0.339,0.091,-0.026,-0.099,-0.154,-0.158,-0.198,-0.198,-0.223,-0.223,-0.215,NearMiss
0.082,0.143,0.522,1.087,0.803,0.479,0.339,0.462,0.404,0.418,0.407,0.400,0.476,0.384,0.437,0.419,NearMiss
0.204,0.245,0.308,0.482,0.635,0.655,0.484,0.315,0.356,0.453,0.420,0.419,0.447,0.453,0.516,0.484,NearMiss
0.082,0.104,0.155,0.763,0.969,0.541,0.027,-0.189,-0.255,-0.226,-0.219,-0.179,-0.179,-0.164,-0.191,-0.195,NearMiss
0.143,0.166,0.164,0.278,0.592,0.546,0.335,0.319,0.224,0.197,0.458,0.583,0.673,0.585,0.620,0.653,NearMiss
0.245,0.273,0.318,0.586,0.864,0.738,0.499,0.356,0.361,0.319,0.279,0.269,0.330,0.298,0.301,0.287,NearMiss
0.443,0.484,0.572,0.685,0.689,0.499,0.294,0.113,-0.010,-0.090,-0.156,-0.233,-0.251,-0.243,-0.279,-0.307,NearMiss
0.032,0.070,0.127,0.594,0.698,0.301,0.163,0.202,0.281,0.323,0.248,0.267,0.182,0.156,-0.016,0.253,NearMiss
0.413,0.449,0.510,0.703,0.672,0.473,0.172,-0.000,-0.117,-0.169,-0.150,-0.165,-0.165,-0.171,-0.183,-0.198,NearMiss
0.400,0.410,0.435,0.607,0.652,0.571,0.426,0.227,0.106,0.084,0.056,0.089,0.052,0.046,0.005,-0.002,NearMiss
0.165,0.176,0.193,0.242,0.514,0.822,0.673,0.431,0.198,0.091,0.179,0.234,0.231,0.180,0.159,0.169,NearMiss
0.226,0.148,0.264,0.306,0.814,0.969,0.928,1.025,1.018,0.744,0.375,0.156,0.002,-0.084,-0.170,-0.191,NearMiss
0.157,0.140,0.154,0.154,0.119,0.054,0.263,0.485,0.665,0.917,1.024,0.855,0.766,0.344,0.127,0.119,NearMiss
0.212,0.321,0.708,0.883,0.615,0.414,0.600,0.294,0.329,0.358,0.302,0.169,0.115,0.639,0.190,0.224,NearMiss
0.443,0.436,0.494,0.772,1.025,0.908,0.518,0.178,-0.142,-0.236,-0.266,-0.272,-0.294,-0.295,-0.301,-0.311,NearMiss
0.331,0.326,0.314,0.446,0.806,0.927,0.764,0.521,0.027,-0.091,0.103,0.145,0.128,0.197,0.225,0.211,NearMiss
0.399,0.410,0.493,0.850,0.874,0.569,0.258,0.070,0.123,0.119,0.092,0.007,0.034,0.033,0.021,0.214,NearMiss
0.302,0.297,0.278,0.321,0.563,0.758,0.639,0.324,-0.015,-0.016,0.168,0.832,0.473,0.047,0.702,0.443,NearMiss
0.451,0.476,0.492,0.569,0.704,1.002,0.903,0.590,0.202,-0.093,-0.231,-0.286,-0.312,-0.320,-0.365,-0.354,NearMiss
0.224,0.253,0.437,0.680,0.825,0.629,0.462,0.424,0.448,0.437,0.388,0.467,0.422,0.441,0.474,0.453,NearMiss
0.279,0.265,0.311,0.540,0.786,0.647,0.309,0.377,0.327,0.208,0.167,0.218,0.110,0.051,0.009,0.020,NearMiss
0.380,0.546,1.055,0.892,0.582,0.506,0.566,0.542,0.427,0.539,0.249,0.297,0.489,0.405,0.472,0.510,NearMiss
0.541,0.518,0.536,0.859,1.058,0.673,0.105,-0.229,-0.359,-0.258,-0.348,-0.286,-0.311,-0.400,-0.424,-0.365,NearMiss
0.520,0.512,0.502,0.513,0.590,0.636,0.500,0.304,0.083,-0.255,-0.419,-0.475,-0.300,-0.403,-0.545,-0.589,NearMiss
0.414,0.426,0.424,0.514,0.912,1.178,0.843,0.422,0.030,-0.224,-0.242,-0.251,-0.246,-0.226,-0.233,-0.240,NearMiss
0.412,0.396,0.399,0.434,0.645,0.715,0.623,0.329,0.124,-0.029,-0.087,-0.192,-0.279,-0.315,-0.338,-0.411,NearMiss
0.360,0.324,0.395,0.787,0.654,0.239,-0.025,-0.202,-0.108,-0.107,-0.196,-0.168,-0.181,-0.169,-0.139,-0.223,NearMiss
0.464,0.526,1.080,1.281,0.724,0.190,0.255,0.310,0.309,0.266,0.267,0.246,0.338,0.426,0.511,0.631,NearMiss
0.198,0.185,0.361,0.689,0.635,0.342,0.040,-0.092,-0.113,-0.142,-0.086,-0.173,-0.124,-0.151,-0.136,-0.143,NearMiss
0.273,0.298,0.596,1.012,1.045,0.687,0.339,0.257,0.298,0.349,0.257,0.214,0.199,0.165,0.272,0.300,NearMiss
0.150,0.166,0.193,0.398,0.842,0.789,0.429,0.313,0.360,0.445,0.483,0.510,0.482,0.470,0.509,0.513,NearMiss
0.342,0.328,0.409,0.572,0.929,0.839,0.666,0.436,0.370,0.358,0.399,0.260,0.174,0.189,0.140,0.004,NearMiss
0.346,0.327,0.310,0.536,0.718,0.558,0.082,-0.177,-0.157,-0.175,-0.226,-0.043,-0.183,-0.090,0.358,0.592,NearMiss
0.386,0.439,0.822,0.713,0.158,-0.159,-0.001,-0.226,-0.310,0.580,0.262,-0.290,-0.371,-0.547,-0.383,-0.530,NearMiss
0.275,0.310,0.610,0.880,0.900,0.508,0.138,-0.105,-0.127,-0.209,-0.262,-0.293,-0.374,-0.370,-0.328,-0.316,NearMiss
0.260,0.278,0.305,0.522,1.010,0.773,0.498,0.426,0.485,0.505,0.490,0.485,0.502,0.517,0.531,0.596,NearMiss
0.275,0.244,0.417,0.689,0.284,0.036,-0.220,-0.352,-0.297,-0.383,-0.281,-0.011,0.185,0.087,-0.229,-0.321,NearMiss
0.289,0.298,0.305,0.440,0.790,0.739,0.181,-0.150,-0.175,-0.090,-0.121,-0.137,-0.119,-0.147,-0.142,-0.162,NearMiss
0.083,0.086,0.107,0.586,0.836,0.600,0.145,-0.154,-0.103,-0.018,-0.039,-0.033,-0.035,-0.043,-0.052,-0.060,NearMiss
0.131,0.128,0.169,0.337,0.891,1.002,0.628,0.302,0.211,0.217,0.258,0.398,0.449,0.410,0.308,0.257,NearMiss
0.169,0.171,0.162,0.187,0.407,0.493,0.372,0.244,0.062,-0.048,-0.139,-0.170,-0.182,-0.218,-0.261,-0.297,NearMiss
0.111,0.129,0.194,0.262,0.261,0.257,0.189,0.047,-0.076,-0.108,-0.122,-0.140,-0.156,-0.169,-0.164,-0.145,NearMiss
0.054,0.061,0.050,0.375,0.755,0.397,-0.040,-0.179,-0.126,-0.092,-0.099,-0.145,-0.138,-0.134,-0.159,-0.154,NearMiss
0.182,0.194,0.210,0.433,0.584,0.490,0.242,0.108,-0.078,-0.173,-0.187,-0.218,-0.219,-0.257,-0.312,-0.364,NearMiss
-0.186,-0.182,-0.165,-0.222,-0.231,-0.103,0.055,0.160,0.210,0.206,0.286,0.326,0.232,0.124,-0.019,-0.089,NearMiss
0.180,0.216,0.351,0.540,0.530,0.352,0.209,0.058,-0.017,-0.085,-0.188,-0.271,-0.314,-0.371,-0.378,-0.404,NearMiss
0.038,0.043,0.046,0.351,0.687,0.469,0.060,-0.251,-0.190,-0.131,-0.147,-0.110,-0.066,-0.049,-0.037,-0.051,NearMiss
0.252,0.294,0.566,0.922,0.791,0.688,0.538,0.533,0.344,0.315,0.498,0.569,0.550,0.533,0.439,0.297,NearMiss
0.431,0.486,0.609,0.653,0.550,0.305,0.081,-0.064,-0.153,-0.217,-0.288,-0.351,-0.400,-0.418,-0.441,-0.449,NearMiss
0.154,0.019,0.104,0.358,0.811,0.956,0.959,1.138,1.003,0.690,0.492,0.182,0.009,-0.157,-0.263,-0.266,NearMiss
